,name,address,md
18,Amazon Web Services Machine Learning Essential Training,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Amazon%20Web%20Services%20Machine%20Learning%20Essential%20Training.pdf,[Amazon Web Services Machine Learning Essential Training](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Amazon%20Web%20Services%20Machine%20Learning%20Essential%20Training.pdf)
19,Artificial Intelligence Foundations Neural Networks,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Artificial%20Intelligence%20Foundations%20Neural%20Networks.pdf,[Artificial Intelligence Foundations Neural Networks](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Artificial%20Intelligence%20Foundations%20Neural%20Networks.pdf)
20,Artificial Intelligence Foundations Thinking Machines,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Artificial%20Intelligence%20Foundations%20Thinking%20Machines.pdf,[Artificial Intelligence Foundations Thinking Machines](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Artificial%20Intelligence%20Foundations%20Thinking%20Machines.pdf)
21,Async Programming in C,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Async%20Programming%20in%20C.pdf,[Async Programming in C](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Async%20Programming%20in%20C.pdf)
22,Building and Deploying Deep Learning Applications with TensorFlow,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Building%20and%20Deploying%20Deep%20Learning%20Applications%20with%20TensorFlow.pdf,[Building and Deploying Deep Learning Applications with TensorFlow](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Building%20and%20Deploying%20Deep%20Learning%20Applications%20with%20TensorFlow.pdf)
23,C  .NET Programming,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20%20.NET%20Programming.pdf,[C  .NET Programming](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20%20.NET%20Programming.pdf)
24,C Best Practices for Developers,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Best%20Practices%20for%20Developers.pdf,[C Best Practices for Developers](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Best%20Practices%20for%20Developers.pdf)
25,C Delegates Events and Lambdas 2015,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Delegates%20Events%20and%20Lambdas%202015.pdf,[C Delegates Events and Lambdas 2015](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Delegates%20Events%20and%20Lambdas%202015.pdf)
26,C Design Patterns Part 1,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Design%20Patterns%20Part%201.pdf,[C Design Patterns Part 1](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Design%20Patterns%20Part%201.pdf)
27,C Design Patterns Part 2,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Design%20Patterns%20Part%202.pdf,[C Design Patterns Part 2](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Design%20Patterns%20Part%202.pdf)
28,C Refactoring Tips and Tricks,https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Refactoring%20Tips%20and%20Tricks.pdf,[C Refactoring Tips and Tricks](https://heaohan.github.io/files/certificate/CertificateOfCompletion_C%20Refactoring%20Tips%20and%20Tricks.pdf)
29,Cert Prep PMI Agile Certified Practitioner PMIACP - PDUs,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Cert%20Prep%20PMI%20Agile%20Certified%20Practitioner%20PMIACP%20-%20PDUs.pdf,[Cert Prep PMI Agile Certified Practitioner PMIACP - PDUs](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Cert%20Prep%20PMI%20Agile%20Certified%20Practitioner%20PMIACP%20-%20PDUs.pdf)
